Москва:
id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
117463,"Science Plan Сухой корм для взрослых стерилизованных кошек в возрасте от 1 года до 6 лет, с уткой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/hills-suhoy-korm-dlya-sterilizovannyh-koshek-6mes-6let-s-utkoy-pak-300g.html,2339,2339,Hill's
45703,"Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с кроликом, 3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_kuritsakrolik.html,3699,2960,PRO PLAN®
41915,"Mother and Babycat корм для котят в возрасте от 1 до 4 месяцев и для беременных/лактирующих кошек, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Babycat_34_korm_suhoy_korm_dlya_kotyat_ot_1_do_4_mes_i_beremennyh_koshek.html,2369,2014,Royal Canin
146229,"WOW Сухой корм для стерилизованных кошек с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-indeykoy2.html,827,827,AlphaPet
145773,"Adult Care Renal Сухой корм для взрослых кошек с хронической почечной недостаточностью, с курицей, 3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/ownat-care-korm-dlya-vzroslyh-koshek-renal-s-kuricey-pak-1-5kg.html,2815,2815,Ownat
132640,"Sterilised Сухой корм для стерилизованных кошек с кроликом, 1,5 кг + 400г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-1-5kg-d-ster-kosh-afte-kea-kurica-krolik-1-5kg-400g.html,1869,1869,PRO PLAN®
146237,"Сухой корм для стерилизованных кошек с ягненком и индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom-i-indeykoy.html,1515,1288,AlphaPet
41931,"Sphynx Adult корм для кошек породы сфинкс старше 12 месяцев, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sphynx_33_Adult_suhoy_korm_dlya_koshek_porody_Sfinks.html,2899,2465,Royal Canin
47819,"Science Plan Сухой корм для взрослых стерилизованных кошек и кастрированных котов, с тунцом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_dlya_sterilizovannyh_koshek_tunets.html,2019,2019,Hill's
45804,"Prescription Diet s/d Urinary Care Сухой диетический корм для кошек при профилактике мочекаменной болезни (мкб), с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Hills_suhoy_korm_dlya_sobak_melkih_i_karlikovyh_porod_starshe_7et_kuritsey.html,3295,3295,Hill's
132688,"Delicate Сухой корм для кошек от 1 года с чувствительным пищеварением синдейкой, 1,5 кг + 400 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-1-5kg-d-kosh-chuvpishch-indris-1-5kg-400g.html,1869,1869,PRO PLAN®
137199,"OCEAN CAT корм сухой для котят, с треской, креветкой, тыквой и дыней, 1,5кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/farmina-n-d-oushen-ket-treska-krevetka-tykva-i-dynya-dlya-kotyat-300g.html,3595,3236,Farmina
75559,"Delicate сухой корм для взрослых кошек при чувствительном пищеварении с ягненком, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-400g-d-koshek-chuvstvitelnoe-pishchevarenie-yagnenok.html,1869,1869,PRO PLAN®
146239,"Сухой корм для стерилизованных кошек с уткой и индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-utkoy-i-indeykoy.html,1499,1275,AlphaPet
146989,"Adult In-home Luxury Hairball сухой корм для домашних кошек с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-domashnih-koshek-s-kuricey.html,1099,1099,UNICA
86941,"Корм сухой для кошек Ньютрид Сатаети Бэлэнс, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/korm-suhoy-royal-kanin-dlya-koshek-nyutrid-sataeti-belens-pak-400-g.html,2309,2309,Royal Canin
146266,"Корм сухой для стерилизованных кошек, с индейкой и курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-indeykoy-i-kuricey.html,1015,812,Sirius
142899,"Корм для стерилизованных кошек с кроликом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-sterilizovannyh-koshek-s-krolikom.html,959,959,DELICANA
146684,"Indoor сухой корм для кошек с лососем, рисом и яблоками, 350 гр",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-indor-s-lososem-risom-i-yablokami.html,439,439,UNICA
135832,"Корм сухой для взрослых домашних кошек с тунцом, лососем и рисом, 1 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-domashnih-koshek-s-tuncom-lososem-i-risom.html,689,689,UnoCat
104595,"Science Plan Сухой корм для котят для здорового роста и развития, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/Hills_suhoy_korm_dlya_kotyat_i_beremennyh_koshek_kuritsey.html,2255,1692,Hill's
142897,"Корм для кошек с чувствительным пищеварением с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-indeykoy.html,959,816,DELICANA
42574,"Hypoallergenic DR25 корм для кошек с пищевой аллергией, 2,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Royal_Canin_Hypoallergenic_dieticheskiy_suhoy_korm_dlya_koshek_pri_allergii.html,5217,5217,Royal Canin
42584,"Gastro Intestinal Moderate Calorie GIM35 корм для кошек при нарушении пищеварения с умеренным содержанием энергии, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Royal_Canin_Gastro_Intestinal_Moderate_Calorie_GIM35_dieticheskiy_suhoy_korm_dlya_koshek.html,3895,3895,Royal Canin
42603,"Prescription Diet Metabolic Сухой диетический корм для кошек, способствующий снижению и контролю веса, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Hills_Metabolic_dieticheskiy_suhoy_korm_dlya_koshek_dlya_korrektsii_vesa.html,3985,3985,Hill's
146986,"Kitten Development сухой корм для котят с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/korm-suhoy-dlya-kotyat-s-kuricey.html,1099,1099,UNICA
146241,"Сухой корм для взрослых кошек с чувствительным пищеварением с ягненком, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-koshek-s-yagnenkom.html,1567,1567,AlphaPet
45808,"Prescription Diet c/d Multicare Urinary Care Сухой диетический корм для кошек при профилактике мочекаменной болезни (мкб), с курицей, 1,5 кг",https://4lapy.ru/catalog/veterinarnaya-apteka/koshka/dieticheskiy-korm-koshki/Hills_CD_dieticheskiy_suhoy_korm_dlya_koshek_dlya_profilaktiki_MKB_kuritsey.html,3275,3275,Hill's
156068,"Functional Nutrition Корм сухой для стерилизованных кошек старше 7 лет, с сельдью и лососем, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-starshe-7-let-s-seldyu-i-lososem-400g.html,1499,1499,Mealfeel
42564,"Renal RF23 корм для взрослых кошек с хронической почечной недостаточностью, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Royal_Canin_Renal_dieticheskiy_suhoy_korm_dlya_koshek_pri_pochechnoy_nedostatochnosti.html,3865,3865,Royal Canin
137908,Корм сухой для стерилизованных кошек курица,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-kurica.html,1259,1259,Brit
148054,"Veterinary Diets NF Renal Function Early care (Начальная стадия) сухой корм для взрослых кошек для поддержания функции почек при хронической почечной недостаточности, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/veterinary-diets-nf-suhoy-korm-early-care-dlya-podderzhaniya-funkcii-pochek-na-nachalnoy-stadii-350g.html,3369,3369,PRO PLAN® Veterinary Diets
139515,"Корм сухой для котят курица, 2кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/korm-suhoy-dlya-kotyat-kurica.html,1085,1085,Brit
45803,"Prescription Diet k/d Сухой диетический корм для кошек при хронической болезни почек, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Hills_KD_dieticheskiy_suhoy_korm_dlya_koshek_pri_zabolevaniyah_pochek.html,3999,3999,Hill's
139534,"Premium Cat Sterilized Salmon&Chicken сухой корм для стерилизованных кошек с лососем и курицей, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/premium-cat-sterilized-salmon-chicken-suhoy-korm-dlya-sterilizovannyh-koshek-s-lososem-i-kuricey-400g.html,1259,1259,Brit
